Source,Target,Type
1,2
2,3
3,1
4,3,Directed
4,1,Directed
5,2,Directed
5,3,Directed
6,5,Directed
6,2,Directed
7,6,Directed
7,2,Directed
8,5,Directed
8,2,Directed
9,8,Directed
9,5,Directed
10,5,Directed
10,3,Directed
11,9,Directed
11,8,Directed
12,10,Directed
12,3,Directed
13,11,Directed
13,8,Directed
14,6,Directed
14,2,Directed
15,14,Directed
15,6,Directed
16,11,Directed
16,9,Directed
17,7,Directed
17,2,Directed
18,17,Directed
18,2,Directed
19,3,Directed
19,1,Directed
20,10,Directed
20,5,Directed
21,18,Directed
21,17,Directed
22,4,Directed
22,3,Directed
23,9,Directed
23,8,Directed
24,17,Directed
24,2,Directed
25,19,Directed
25,1,Directed
26,25,Directed
26,19,Directed
27,5,Directed
27,2,Directed
28,11,Directed
28,8,Directed
29,3,Directed
29,1,Directed
30,21,Directed
30,17,Directed
