Source,Target,Type
11,42,Directed
428,188,Directed
345,232,Directed
43,389,Directed
308,371,Directed
291,45,Directed
355,168,Directed
311,146,Directed
384,154,Directed
489,261,Directed
31,45,Directed
429,279,Directed
400,290,Directed
226,87,Directed
53,376,Directed
107,40,Directed
393,403,Directed
83,165,Directed
71,169,Directed
368,348,Directed
36,27,Directed
57,470,Directed
252,448,Directed
326,468,Directed
251,315,Directed
69,313,Directed
291,443,Directed
446,83,Directed
91,105,Directed
254,69,Directed
30,342,Directed
418,358,Directed
324,403,Directed
74,227,Directed
267,426,Directed
102,286,Directed
65,68,Directed
456,355,Directed
435,296,Directed
292,280,Directed
439,262,Directed
99,414,Directed
286,14,Directed
163,499,Directed
66,324,Directed
447,228,Directed
328,205,Directed
391,133,Directed
105,118,Directed
133,3,Directed
230,61,Directed
485,219,Directed
270,201,Directed
210,447,Directed
92,120,Directed
75,83,Directed
317,242,Directed
383,34,Directed
136,403,Directed
72,386,Directed
350,474,Directed
296,372,Directed
32,16,Directed
290,53,Directed
99,132,Directed
13,433,Directed
275,216,Directed
437,473,Directed
296,99,Directed
223,495,Directed
371,18,Directed
243,85,Directed
224,170,Directed
97,386,Directed
9,178,Directed
6,181,Directed
287,236,Directed
66,362,Directed
287,159,Directed
283,273,Directed
253,166,Directed
206,179,Directed
376,91,Directed
280,149,Directed
23,429,Directed
278,486,Directed
36,244,Directed
150,50,Directed
265,61,Directed
273,354,Directed
23,359,Directed
113,424,Directed
239,296,Directed
69,13,Directed
325,200,Directed
156,356,Directed
221,295,Directed
198,410,Directed
475,392,Directed
207,153,Directed
266,404,Directed
318,271,Directed
66,345,Directed
178,158,Directed
124,283,Directed
284,258,Directed
428,279,Directed
350,217,Directed
232,398,Directed
392,44,Directed
285,236,Directed
10,165,Directed
309,229,Directed
437,166,Directed
476,499,Directed
321,143,Directed
329,393,Directed
75,150,Directed
37,140,Directed
287,324,Directed
300,272,Directed
93,138,Directed
227,46,Directed
76,30,Directed
476,226,Directed
49,399,Directed
197,399,Directed
53,412,Directed
403,258,Directed
34,400,Directed
4,27,Directed
181,425,Directed
456,69,Directed
454,274,Directed
378,82,Directed
134,485,Directed
418,489,Directed
216,360,Directed
477,183,Directed
186,370,Directed
77,198,Directed
419,368,Directed
362,286,Directed
41,256,Directed
29,25,Directed
301,412,Directed
117,298,Directed
386,223,Directed
88,296,Directed
114,100,Directed
298,182,Directed
248,384,Directed
415,307,Directed
161,21,Directed
480,220,Directed
309,156,Directed
428,61,Directed
70,310,Directed
230,315,Directed
125,12,Directed
24,311,Directed
45,253,Directed
360,270,Directed
89,482,Directed
464,360,Directed
141,232,Directed
404,462,Directed
260,267,Directed
239,275,Directed
202,237,Directed
366,352,Directed
118,30,Directed
386,87,Directed
482,39,Directed
91,452,Directed
243,465,Directed
266,167,Directed
30,170,Directed
245,158,Directed
381,35,Directed
302,478,Directed
88,201,Directed
396,61,Directed
391,417,Directed
477,17,Directed
