Source,Target,Type
1,1,Directed
1,5,Directed
1,6,Directed
1,8,Directed
1,10,Directed
1,13,Directed
1,15,Directed
1,16,Directed
1,17,Directed
1,18,Directed
1,20,Directed
1,21,Directed
1,22,Directed
1,23,Directed
1,24,Directed
1,26,Directed
1,29,Directed
1,30,Directed
1,35,Directed
1,38,Directed
1,41,Directed
1,45,Directed
1,47,Directed
1,49,Directed
1,50,Directed
1,51,Directed
1,53,Directed
1,56,Directed
1,57,Directed
1,61,Directed
1,62,Directed
1,63,Directed
1,69,Directed
1,70,Directed
1,73,Directed
1,74,Directed
1,77,Directed
1,78,Directed
1,79,Directed
1,80,Directed
1,81,Directed
1,82,Directed
1,85,Directed
1,86,Directed
1,87,Directed
1,90,Directed
1,93,Directed
1,95,Directed
1,97,Directed
1,98,Directed
1,101,Directed
1,102,Directed
1,103,Directed
1,107,Directed
1,109,Directed
1,112,Directed
1,115,Directed
1,117,Directed
1,118,Directed
1,119,Directed
1,124,Directed
1,125,Directed
1,129,Directed
1,131,Directed
1,133,Directed
1,135,Directed
1,139,Directed
1,140,Directed
1,141,Directed
1,142,Directed
1,143,Directed
1,144,Directed
1,147,Directed
1,149,Directed
1,153,Directed
1,158,Directed
1,160,Directed
1,161,Directed
1,162,Directed
1,163,Directed
1,164,Directed
1,169,Directed
1,170,Directed
1,171,Directed
1,173,Directed
1,175,Directed
1,176,Directed
1,177,Directed
1,178,Directed
1,179,Directed
1,181,Directed
1,183,Directed
1,187,Directed
1,190,Directed
1,192,Directed
1,193,Directed
1,194,Directed
1,195,Directed
1,196,Directed
1,199,Directed
1,201,Directed
1,203,Directed
1,205,Directed
1,207,Directed
1,209,Directed
1,210,Directed
1,213,Directed
1,216,Directed
1,217,Directed
1,218,Directed
1,225,Directed
1,230,Directed
1,231,Directed
1,233,Directed
1,235,Directed
1,238,Directed
1,239,Directed
1,242,Directed
1,243,Directed
1,245,Directed
1,246,Directed
1,247,Directed
1,248,Directed
1,253,Directed
1,255,Directed
1,259,Directed
1,260,Directed
1,261,Directed
1,265,Directed
1,270,Directed
1,271,Directed
1,272,Directed
1,273,Directed
1,274,Directed
1,275,Directed
1,276,Directed
1,278,Directed
1,279,Directed
1,281,Directed
1,282,Directed
1,284,Directed
1,286,Directed
1,289,Directed
1,290,Directed
1,296,Directed
1,298,Directed
1,301,Directed
1,303,Directed
1,307,Directed
1,308,Directed
1,310,Directed
1,313,Directed
1,314,Directed
1,315,Directed
1,320,Directed
1,323,Directed
1,324,Directed
1,325,Directed
1,327,Directed
1,328,Directed
1,330,Directed
1,333,Directed
1,335,Directed
1,337,Directed
1,339,Directed
1,347,Directed
1,348,Directed
1,351,Directed
1,352,Directed
1,354,Directed
1,357,Directed
1,362,Directed
1,363,Directed
1,365,Directed
1,366,Directed
1,367,Directed
1,371,Directed
1,372,Directed
1,373,Directed
1,374,Directed
1,375,Directed
1,376,Directed
1,378,Directed
1,380,Directed
1,381,Directed
1,383,Directed
1,384,Directed
1,386,Directed
1,389,Directed
1,390,Directed
1,391,Directed
1,393,Directed
1,394,Directed
1,395,Directed
1,396,Directed
1,398,Directed
1,399,Directed
1,401,Directed
1,406,Directed
1,407,Directed
1,409,Directed
1,410,Directed
1,411,Directed
1,414,Directed
1,415,Directed
1,416,Directed
1,420,Directed
1,424,Directed
1,426,Directed
1,429,Directed
1,431,Directed
1,437,Directed
1,448,Directed
1,449,Directed
1,450,Directed
1,451,Directed
1,455,Directed
1,462,Directed
1,464,Directed
1,467,Directed
1,472,Directed
1,473,Directed
1,476,Directed
1,477,Directed
1,478,Directed
1,481,Directed
1,482,Directed
1,483,Directed
1,484,Directed
1,485,Directed
1,487,Directed
1,489,Directed
1,490,Directed
1,492,Directed
1,493,Directed
1,494,Directed
1,499,Directed
2,2,Directed
2,3,Directed
2,4,Directed
2,9,Directed
2,11,Directed
2,12,Directed
2,13,Directed
2,14,Directed
2,16,Directed
2,17,Directed
2,19,Directed
2,25,Directed
2,26,Directed
2,29,Directed
2,31,Directed
2,32,Directed
2,33,Directed
2,34,Directed
2,35,Directed
2,37,Directed
2,39,Directed
2,41,Directed
2,42,Directed
2,43,Directed
2,44,Directed
2,48,Directed
2,50,Directed
2,53,Directed
2,54,Directed
2,59,Directed
2,64,Directed
2,66,Directed
2,67,Directed
2,68,Directed
2,69,Directed
2,71,Directed
2,73,Directed
2,74,Directed
2,75,Directed
2,76,Directed
2,78,Directed
2,79,Directed
2,80,Directed
2,81,Directed
2,83,Directed
2,86,Directed
2,88,Directed
2,89,Directed
2,91,Directed
2,92,Directed
2,94,Directed
2,95,Directed
2,96,Directed
2,97,Directed
2,101,Directed
2,110,Directed
2,111,Directed
2,112,Directed
2,115,Directed
2,116,Directed
2,120,Directed
2,122,Directed
2,123,Directed
2,124,Directed
2,128,Directed
2,132,Directed
2,134,Directed
2,136,Directed
2,137,Directed
2,138,Directed
2,141,Directed
2,145,Directed
2,147,Directed
2,149,Directed
2,150,Directed
2,151,Directed
2,152,Directed
2,154,Directed
2,156,Directed
2,157,Directed
2,158,Directed
2,159,Directed
2,161,Directed
2,163,Directed
2,165,Directed
2,166,Directed
2,167,Directed
2,168,Directed
2,170,Directed
2,172,Directed
2,174,Directed
2,176,Directed
2,178,Directed
2,179,Directed
2,180,Directed
2,182,Directed
2,184,Directed
2,186,Directed
2,188,Directed
2,190,Directed
2,193,Directed
2,194,Directed
2,195,Directed
2,197,Directed
2,199,Directed
2,202,Directed
2,205,Directed
2,206,Directed
2,208,Directed
2,209,Directed
2,210,Directed
2,214,Directed
2,215,Directed
2,220,Directed
2,221,Directed
2,222,Directed
2,223,Directed
2,224,Directed
2,226,Directed
2,227,Directed
2,228,Directed
2,229,Directed
2,231,Directed
2,233,Directed
2,234,Directed
