Source,Target,Type
1,1,Directed
1,32,Directed
1,83,Directed
1,88,Directed
2,2,Directed
2,12,Directed
2,18,Directed
3,3,Directed
4,4,Directed
4,28,Directed
5,5,Directed
5,50,Directed
6,6,Directed
6,27,Directed
6,84,Directed
7,7,Directed
7,36,Directed
7,45,Directed
8,8,Directed
8,47,Directed
8,81,Directed
8,89,Directed
8,90,Directed
8,96,Directed
9,9,Directed
10,10,Directed
10,77,Directed
11,11,Directed
12,2,Directed
12,12,Directed
12,18,Directed
13,13,Directed
13,14,Directed
13,44,Directed
13,49,Directed
14,13,Directed
14,14,Directed
14,44,Directed
14,49,Directed
15,15,Directed
15,48,Directed
15,70,Directed
16,16,Directed
16,56,Directed
16,63,Directed
17,17,Directed
18,2,Directed
18,12,Directed
18,18,Directed
19,19,Directed
20,20,Directed
20,55,Directed
21,21,Directed
22,22,Directed
22,57,Directed
22,60,Directed
22,75,Directed
23,23,Directed
23,94,Directed
24,24,Directed
24,61,Directed
24,66,Directed
24,72,Directed
25,25,Directed
25,54,Directed
25,82,Directed
26,26,Directed
27,6,Directed
27,27,Directed
27,84,Directed
28,4,Directed
28,28,Directed
29,29,Directed
29,73,Directed
30,30,Directed
30,40,Directed
31,31,Directed
32,1,Directed
32,32,Directed
32,83,Directed
32,88,Directed
33,33,Directed
34,34,Directed
34,95,Directed
35,35,Directed
35,91,Directed
36,7,Directed
36,36,Directed
36,45,Directed
37,37,Directed
38,38,Directed
39,39,Directed
40,30,Directed
40,40,Directed
41,41,Directed
41,46,Directed
42,42,Directed
43,43,Directed
44,13,Directed
44,14,Directed
44,44,Directed
44,49,Directed
45,7,Directed
45,36,Directed
45,45,Directed
46,41,Directed
46,46,Directed
47,8,Directed
47,47,Directed
47,81,Directed
47,89,Directed
47,90,Directed
47,96,Directed
48,15,Directed
48,48,Directed
48,70,Directed
49,13,Directed
49,14,Directed
49,44,Directed
49,49,Directed
50,5,Directed
50,50,Directed
51,51,Directed
52,52,Directed
53,53,Directed
54,25,Directed
54,54,Directed
54,82,Directed
55,20,Directed
55,55,Directed
56,16,Directed
56,56,Directed
56,63,Directed
57,22,Directed
57,57,Directed
57,60,Directed
57,75,Directed
58,58,Directed
58,99,Directed
59,59,Directed
60,22,Directed
60,57,Directed
60,60,Directed
60,75,Directed
61,24,Directed
61,61,Directed
61,66,Directed
61,72,Directed
62,62,Directed
63,16,Directed
63,56,Directed
63,63,Directed
64,64,Directed
64,87,Directed
65,65,Directed
65,71,Directed
66,24,Directed
66,61,Directed
66,66,Directed
66,72,Directed
67,67,Directed
68,68,Directed
69,69,Directed
70,15,Directed
70,48,Directed
70,70,Directed
71,65,Directed
71,71,Directed
72,24,Directed
72,61,Directed
72,66,Directed
72,72,Directed
73,29,Directed
73,73,Directed
74,74,Directed
75,22,Directed
75,57,Directed
75,60,Directed
75,75,Directed
76,76,Directed
76,79,Directed
77,10,Directed
77,77,Directed
78,78,Directed
79,76,Directed
79,79,Directed
80,80,Directed
81,8,Directed
81,47,Directed
81,81,Directed
81,89,Directed
81,90,Directed
81,96,Directed
82,25,Directed
82,54,Directed
82,82,Directed
83,1,Directed
83,32,Directed
83,83,Directed
83,88,Directed
84,6,Directed
84,27,Directed
84,84,Directed
85,85,Directed
86,86,Directed
87,64,Directed
87,87,Directed
88,1,Directed
88,32,Directed
88,83,Directed
88,88,Directed
89,8,Directed
89,47,Directed
89,81,Directed
89,89,Directed
89,90,Directed
89,96,Directed
90,8,Directed
90,47,Directed
90,81,Directed
90,89,Directed
90,90,Directed
90,96,Directed
91,35,Directed
91,91,Directed
92,92,Directed
93,93,Directed
94,23,Directed
94,94,Directed
95,34,Directed
95,95,Directed
96,8,Directed
96,47,Directed
96,81,Directed
96,89,Directed
96,90,Directed
96,96,Directed
97,97,Directed
98,98,Directed
99,58,Directed
99,99,Directed
