Source,Target,Type
1,2,Directed
1,26,Directed
2,3,Directed
2,27,Directed
3,4,Directed
3,28,Directed
4,5,Directed
4,29,Directed
5,6,Directed
5,30,Directed
6,7,Directed
6,31,Directed
7,8,Directed
7,32,Directed
8,9,Directed
8,33,Directed
9,10,Directed
9,34,Directed
10,11,Directed
10,35,Directed
11,12,Directed
11,36,Directed
12,13,Directed
12,37,Directed
13,14,Directed
13,38,Directed
14,15,Directed
14,39,Directed
15,16,Directed
15,40,Directed
16,17,Directed
16,41,Directed
17,18,Directed
17,42,Directed
18,19,Directed
18,43,Directed
19,20,Directed
19,44,Directed
20,21,Directed
20,45,Directed
21,22,Directed
21,46,Directed
22,23,Directed
22,47,Directed
23,24,Directed
23,48,Directed
24,25,Directed
24,49,Directed
25,50,Directed
26,27,Directed
26,51,Directed
27,28,Directed
27,52,Directed
28,29,Directed
28,53,Directed
29,30,Directed
29,54,Directed
30,31,Directed
30,55,Directed
31,32,Directed
31,56,Directed
32,33,Directed
32,57,Directed
33,34,Directed
33,58,Directed
34,35,Directed
34,59,Directed
35,36,Directed
35,60,Directed
36,37,Directed
36,61,Directed
37,38,Directed
37,62,Directed
38,39,Directed
38,63,Directed
39,40,Directed
39,64,Directed
40,41,Directed
40,65,Directed
41,42,Directed
41,66,Directed
42,43,Directed
42,67,Directed
43,44,Directed
43,68,Directed
44,45,Directed
44,69,Directed
45,46,Directed
45,70,Directed
46,47,Directed
46,71,Directed
47,48,Directed
47,72,Directed
48,49,Directed
48,73,Directed
49,50,Directed
49,74,Directed
50,75,Directed
51,52,Directed
51,76,Directed
52,53,Directed
52,77,Directed
53,54,Directed
53,78,Directed
54,55,Directed
54,79,Directed
55,56,Directed
55,80,Directed
56,57,Directed
56,81,Directed
57,58,Directed
57,82,Directed
58,59,Directed
58,83,Directed
59,60,Directed
59,84,Directed
60,61,Directed
60,85,Directed
61,62,Directed
61,86,Directed
62,63,Directed
62,87,Directed
63,64,Directed
63,88,Directed
64,65,Directed
64,89,Directed
65,66,Directed
65,90,Directed
66,67,Directed
66,91,Directed
67,68,Directed
67,92,Directed
68,69,Directed
68,93,Directed
69,70,Directed
69,94,Directed
70,71,Directed
70,95,Directed
71,72,Directed
71,96,Directed
72,73,Directed
72,97,Directed
73,74,Directed
73,98,Directed
74,75,Directed
74,99,Directed
75,100,Directed
76,77,Directed
76,101,Directed
77,78,Directed
77,102,Directed
78,79,Directed
78,103,Directed
79,80,Directed
79,104,Directed
80,81,Directed
80,105,Directed
81,82,Directed
81,106,Directed
82,83,Directed
82,107,Directed
83,84,Directed
83,108,Directed
84,85,Directed
84,109,Directed
85,86,Directed
85,110,Directed
86,87,Directed
86,111,Directed
87,88,Directed
87,112,Directed
88,89,Directed
88,113,Directed
89,90,Directed
89,114,Directed
90,91,Directed
90,115,Directed
91,92,Directed
91,116,Directed
92,93,Directed
92,117,Directed
93,94,Directed
93,118,Directed
94,95,Directed
94,119,Directed
95,96,Directed
95,120,Directed
96,97,Directed
96,121,Directed
97,98,Directed
97,122,Directed
98,99,Directed
98,123,Directed
99,100,Directed
99,124,Directed
100,125,Directed
101,102,Directed
101,126,Directed
102,103,Directed
102,127,Directed
103,104,Directed
103,128,Directed
104,105,Directed
104,129,Directed
105,106,Directed
105,130,Directed
106,107,Directed
106,131,Directed
107,108,Directed
107,132,Directed
108,109,Directed
108,133,Directed
109,110,Directed
109,134,Directed
110,111,Directed
110,135,Directed
111,112,Directed
111,136,Directed
112,113,Directed
112,137,Directed
113,114,Directed
113,138,Directed
114,115,Directed
114,139,Directed
115,116,Directed
115,140,Directed
116,117,Directed
116,141,Directed
117,118,Directed
117,142,Directed
118,119,Directed
118,143,Directed
119,120,Directed
119,144,Directed
120,121,Directed
120,145,Directed
121,122,Directed
121,146,Directed
122,123,Directed
122,147,Directed
123,124,Directed
123,148,Directed
124,125,Directed
124,149,Directed
125,150,Directed
126,127,Directed
126,151,Directed
127,128,Directed
127,152,Directed
128,129,Directed
128,153,Directed
129,130,Directed
129,154,Directed
130,131,Directed
130,155,Directed
131,132,Directed
131,156,Directed
132,133,Directed
132,157,Directed
133,134,Directed
133,158,Directed
134,135,Directed
134,159,Directed
135,136,Directed
135,160,Directed
136,137,Directed
136,161,Directed
137,138,Directed
137,162,Directed
138,139,Directed
138,163,Directed
139,140,Directed
139,164,Directed
140,141,Directed
140,165,Directed
141,142,Directed
141,166,Directed
142,143,Directed
142,167,Directed
143,144,Directed
143,168,Directed
144,145,Directed
144,169,Directed
145,146,Directed
145,170,Directed
146,147,Directed
146,171,Directed
147,148,Directed
147,172,Directed
148,149,Directed
148,173,Directed
149,150,Directed
149,174,Directed
150,175,Directed
151,152,Directed
151,176,Directed
152,153,Directed
152,177,Directed
153,154,Directed
153,178,Directed
154,155,Directed
154,179,Directed
155,156,Directed
155,180,Directed
156,157,Directed
156,181,Directed
157,158,Directed
157,182,Directed
158,159,Directed
158,183,Directed
159,160,Directed
159,184,Directed
160,161,Directed
160,185,Directed
161,162,Directed
161,186,Directed
162,163,Directed
162,187,Directed
163,164,Directed
163,188,Directed
164,165,Directed
164,189,Directed
165,166,Directed
165,190,Directed
166,167,Directed
166,191,Directed
167,168,Directed
167,192,Directed
168,169,Directed
168,193,Directed
169,170,Directed
169,194,Directed
170,171,Directed
170,195,Directed
171,172,Directed
171,196,Directed
172,173,Directed
172,197,Directed
173,174,Directed
173,198,Directed
174,175,Directed
174,199,Directed
175,200,Directed
176,177,Directed
176,201,Directed
177,178,Directed
177,202,Directed
178,179,Directed
178,203,Directed
179,180,Directed
179,204,Directed
180,181,Directed
180,205,Directed
181,182,Directed
181,206,Directed
182,183,Directed
182,207,Directed
183,184,Directed
183,208,Directed
184,185,Directed
184,209,Directed
185,186,Directed
185,210,Directed
186,187,Directed
186,211,Directed
187,188,Directed
187,212,Directed
188,189,Directed
188,213,Directed
189,190,Directed
189,214,Directed
190,191,Directed
190,215,Directed
191,192,Directed
191,216,Directed
192,193,Directed
192,217,Directed
193,194,Directed
193,218,Directed
194,195,Directed
194,219,Directed
195,196,Directed
195,220,Directed
196,197,Directed
196,221,Directed
197,198,Directed
197,222,Directed
198,199,Directed
198,223,Directed
199,200,Directed
199,224,Directed
200,225,Directed
201,202,Directed
201,226,Directed
202,203,Directed
202,227,Directed
203,204,Directed
203,228,Directed
204,205,Directed
204,229,Directed
205,206,Directed
205,230,Directed
206,207,Directed
206,231,Directed
207,208,Directed
207,232,Directed
208,209,Directed
208,233,Directed
209,210,Directed
209,234,Directed
210,211,Directed
210,235,Directed
211,212,Directed
211,236,Directed
212,213,Directed
212,237,Directed
213,214,Directed
213,238,Directed
214,215,Directed
214,239,Directed
215,216,Directed
215,240,Directed
216,217,Directed
216,241,Directed
217,218,Directed
217,242,Directed
218,219,Directed
218,243,Directed
219,220,Directed
219,244,Directed
220,221,Directed
220,245,Directed
221,222,Directed
221,246,Directed
222,223,Directed
222,247,Directed
223,224,Directed
223,248,Directed
224,225,Directed
224,249,Directed
225,250,Directed
226,227,Directed
226,251,Directed
227,228,Directed
227,252,Directed
228,229,Directed
228,253,Directed
229,230,Directed
229,254,Directed
230,231,Directed
230,255,Directed
231,232,Directed
231,256,Directed
232,233,Directed
232,257,Directed
233,234,Directed
233,258,Directed
234,235,Directed
234,259,Directed
235,236,Directed
235,260,Directed
236,237,Directed
236,261,Directed
237,238,Directed
237,262,Directed
238,239,Directed
238,263,Directed
239,240,Directed
239,264,Directed
240,241,Directed
240,265,Directed
241,242,Directed
241,266,Directed
242,243,Directed
242,267,Directed
243,244,Directed
243,268,Directed
244,245,Directed
244,269,Directed
245,246,Directed
245,270,Directed
246,247,Directed
246,271,Directed
247,248,Directed
247,272,Directed
248,249,Directed
248,273,Directed
249,250,Directed
249,274,Directed
250,275,Directed
251,252,Directed
251,276,Directed
252,253,Directed
252,277,Directed
253,254,Directed
253,278,Directed
254,255,Directed
254,279,Directed
255,256,Directed
255,280,Directed
256,257,Directed
256,281,Directed
257,258,Directed
257,282,Directed
258,259,Directed
258,283,Directed
259,260,Directed
259,284,Directed
260,261,Directed
260,285,Directed
261,262,Directed
261,286,Directed
262,263,Directed
262,287,Directed
263,264,Directed
263,288,Directed
264,265,Directed
264,289,Directed
265,266,Directed
265,290,Directed
266,267,Directed
266,291,Directed
267,268,Directed
267,292,Directed
268,269,Directed
268,293,Directed
269,270,Directed
269,294,Directed
270,271,Directed
270,295,Directed
271,272,Directed
271,296,Directed
272,273,Directed
272,297,Directed
273,274,Directed
273,298,Directed
274,275,Directed
274,299,Directed
275,300,Directed
276,277,Directed
276,301,Directed
277,278,Directed
277,302,Directed
278,279,Directed
278,303,Directed
279,280,Directed
279,304,Directed
280,281,Directed
280,305,Directed
281,282,Directed
281,306,Directed
282,283,Directed
282,307,Directed
283,284,Directed
283,308,Directed
284,285,Directed
284,309,Directed
285,286,Directed
285,310,Directed
286,287,Directed
286,311,Directed
287,288,Directed
287,312,Directed
288,289,Directed
288,313,Directed
289,290,Directed
289,314,Directed
290,291,Directed
290,315,Directed
291,292,Directed
291,316,Directed
292,293,Directed
292,317,Directed
293,294,Directed
293,318,Directed
294,295,Directed
294,319,Directed
295,296,Directed
295,320,Directed
296,297,Directed
296,321,Directed
297,298,Directed
297,322,Directed
298,299,Directed
298,323,Directed
299,300,Directed
299,324,Directed
300,325,Directed
301,302,Directed
301,326,Directed
302,303,Directed
302,327,Directed
303,304,Directed
303,328,Directed
304,305,Directed
304,329,Directed
305,306,Directed
305,330,Directed
306,307,Directed
306,331,Directed
307,308,Directed
307,332,Directed
308,309,Directed
308,333,Directed
309,310,Directed
309,334,Directed
310,311,Directed
310,335,Directed
311,312,Directed
311,336,Directed
312,313,Directed
312,337,Directed
313,314,Directed
313,338,Directed
314,315,Directed
314,339,Directed
315,316,Directed
315,340,Directed
316,317,Directed
316,341,Directed
317,318,Directed
317,342,Directed
318,319,Directed
318,343,Directed
319,320,Directed
319,344,Directed
320,321,Directed
320,345,Directed
321,322,Directed
321,346,Directed
322,323,Directed
322,347,Directed
323,324,Directed
323,348,Directed
324,325,Directed
324,349,Directed
325,350,Directed
326,327,Directed
326,351,Directed
327,328,Directed
327,352,Directed
328,329,Directed
328,353,Directed
329,330,Directed
329,354,Directed
330,331,Directed
330,355,Directed
331,332,Directed
331,356,Directed
332,333,Directed
332,357,Directed
333,334,Directed
333,358,Directed
334,335,Directed
334,359,Directed
335,336,Directed
335,360,Directed
336,337,Directed
336,361,Directed
337,338,Directed
337,362,Directed
338,339,Directed
338,363,Directed
339,340,Directed
339,364,Directed
340,341,Directed
340,365,Directed
341,342,Directed
341,366,Directed
342,343,Directed
342,367,Directed
343,344,Directed
343,368,Directed
344,345,Directed
344,369,Directed
345,346,Directed
345,370,Directed
346,347,Directed
346,371,Directed
347,348,Directed
347,372,Directed
348,349,Directed
348,373,Directed
349,350,Directed
349,374,Directed
350,375,Directed
351,352,Directed
351,376,Directed
352,353,Directed
352,377,Directed
353,354,Directed
353,378,Directed
354,355,Directed
354,379,Directed
355,356,Directed
355,380,Directed
356,357,Directed
356,381,Directed
357,358,Directed
357,382,Directed
358,359,Directed
358,383,Directed
359,360,Directed
359,384,Directed
360,361,Directed
360,385,Directed
361,362,Directed
361,386,Directed
362,363,Directed
362,387,Directed
363,364,Directed
363,388,Directed
364,365,Directed
364,389,Directed
365,366,Directed
365,390,Directed
366,367,Directed
366,391,Directed
367,368,Directed
367,392,Directed
368,369,Directed
368,393,Directed
369,370,Directed
369,394,Directed
370,371,Directed
370,395,Directed
371,372,Directed
371,396,Directed
372,373,Directed
372,397,Directed
373,374,Directed
373,398,Directed
374,375,Directed
374,399,Directed
375,400,Directed
376,377,Directed
376,401,Directed
377,378,Directed
377,402,Directed
378,379,Directed
378,403,Directed
379,380,Directed
379,404,Directed
380,381,Directed
380,405,Directed
381,382,Directed
381,406,Directed
382,383,Directed
382,407,Directed
383,384,Directed
383,408,Directed
384,385,Directed
384,409,Directed
385,386,Directed
385,410,Directed
386,387,Directed
386,411,Directed
387,388,Directed
387,412,Directed
388,389,Directed
388,413,Directed
389,390,Directed
389,414,Directed
390,391,Directed
390,415,Directed
391,392,Directed
391,416,Directed
392,393,Directed
392,417,Directed
393,394,Directed
393,418,Directed
394,395,Directed
394,419,Directed
395,396,Directed
395,420,Directed
396,397,Directed
396,421,Directed
397,398,Directed
397,422,Directed
398,399,Directed
398,423,Directed
399,400,Directed
399,424,Directed
400,425,Directed
401,402,Directed
401,426,Directed
402,403,Directed
402,427,Directed
403,404,Directed
403,428,Directed
404,405,Directed
404,429,Directed
405,406,Directed
405,430,Directed
406,407,Directed
406,431,Directed
407,408,Directed
407,432,Directed
408,409,Directed
408,433,Directed
409,410,Directed
409,434,Directed
410,411,Directed
410,435,Directed
411,412,Directed
411,436,Directed
412,413,Directed
412,437,Directed
413,414,Directed
413,438,Directed
414,415,Directed
414,439,Directed
415,416,Directed
415,440,Directed
416,417,Directed
416,441,Directed
417,418,Directed
417,442,Directed
418,419,Directed
418,443,Directed
419,420,Directed
419,444,Directed
420,421,Directed
420,445,Directed
421,422,Directed
421,446,Directed
422,423,Directed
422,447,Directed
423,424,Directed
423,448,Directed
424,425,Directed
424,449,Directed
425,450,Directed
426,427,Directed
426,451,Directed
427,428,Directed
427,452,Directed
428,429,Directed
428,453,Directed
429,430,Directed
429,454,Directed
430,431,Directed
430,455,Directed
431,432,Directed
431,456,Directed
432,433,Directed
432,457,Directed
433,434,Directed
433,458,Directed
434,435,Directed
434,459,Directed
435,436,Directed
435,460,Directed
436,437,Directed
436,461,Directed
437,438,Directed
437,462,Directed
438,439,Directed
438,463,Directed
439,440,Directed
439,464,Directed
440,441,Directed
440,465,Directed
441,442,Directed
441,466,Directed
442,443,Directed
442,467,Directed
443,444,Directed
443,468,Directed
444,445,Directed
444,469,Directed
445,446,Directed
445,470,Directed
446,447,Directed
446,471,Directed
447,448,Directed
447,472,Directed
448,449,Directed
448,473,Directed
449,450,Directed
449,474,Directed
450,475,Directed
451,452,Directed
451,476,Directed
452,453,Directed
452,477,Directed
453,454,Directed
453,478,Directed
454,455,Directed
454,479,Directed
455,456,Directed
455,480,Directed
456,457,Directed
456,481,Directed
457,458,Directed
457,482,Directed
458,459,Directed
458,483,Directed
459,460,Directed
459,484,Directed
460,461,Directed
460,485,Directed
461,462,Directed
461,486,Directed
462,463,Directed
462,487,Directed
463,464,Directed
463,488,Directed
464,465,Directed
464,489,Directed
465,466,Directed
465,490,Directed
466,467,Directed
466,491,Directed
467,468,Directed
467,492,Directed
468,469,Directed
468,493,Directed
469,470,Directed
469,494,Directed
470,471,Directed
470,495,Directed
471,472,Directed
471,496,Directed
472,473,Directed
472,497,Directed
473,474,Directed
473,498,Directed
474,475,Directed
474,499,Directed
475,500,Directed
476,477,Directed
477,478,Directed
478,479,Directed
479,480,Directed
480,481,Directed
481,482,Directed
482,483,Directed
483,484,Directed
484,485,Directed
485,486,Directed
486,487,Directed
487,488,Directed
488,489,Directed
489,490,Directed
490,491,Directed
491,492,Directed
492,493,Directed
493,494,Directed
494,495,Directed
495,496,Directed
496,497,Directed
497,498,Directed
498,499,Directed
499,500,Directed
